,Date,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
541,04/29/2020,6.0,6,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/29/2020,Erie,123,3319,885,16104
542,04/30/2020,14.5,13,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,04/30/2020,Erie,162,3481,905,17009
543,04/30/2020,14.4,13,Buffalo Near-Road,20,83.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,04/30/2020,Erie,162,3481,905,17009
544,05/01/2020,7.5,7,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,05/01/2020,Erie,117,3598,1058,18067
545,05/01/2020,8.7,8,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,05/01/2020,Erie,117,3598,1058,18067
546,05/02/2020,23.2,22,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,05/02/2020,Erie,112,3710,799,18866
547,05/02/2020,14.7,13,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,05/02/2020,Erie,112,3710,799,18866
548,05/03/2020,23.7,22,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,05/03/2020,Erie,92,3802,760,19626
549,05/03/2020,14.9,13,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,05/03/2020,Erie,92,3802,760,19626
550,05/04/2020,29.2,27,BUFFALO,19,79.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,05/04/2020,Erie,89,3891,779,20405
551,05/04/2020,18.1,17,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,05/04/2020,Erie,89,3891,779,20405
552,05/05/2020,33.4,31,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,05/05/2020,Erie,117,4008,1498,21903
553,05/05/2020,27.5,25,Buffalo Near-Road,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.9211072796373,-78.7658253281598,05/05/2020,Erie,117,4008,1498,21903
554,05/06/2020,20.0,19,BUFFALO,24,100.0,"Buffalo-Cheektowaga-Niagara Falls, NY",Erie,42.8769066671345,-78.8095260117327,05/06/2020,Erie,128,4136,1164,23067
